exp,r1_s1,r2_s1,r3_s1,avg_s1,std_s1,unit_s1,r1_s2,r2_s2,r3_s2,avg_s2,std_s2,unit_s2
th_1,36.1934,36.1934,36.1934,36.1934,8.20E-15,Mbps,,,,,,
th_2,36.1854,36.1854,36.1854,36.1854,3.71E-14,Mbps,36.1853,36.1853,36.1853,36.1853,0,Mbps
th_3,36.1934,36.1934,36.1934,36.1934,0,Mbps,,,,,,
th_4,36.1854,36.1854,36.1854,36.1854,0,Mbps,36.1853,36.1853,36.1853,36.1853,0,Mbps
th_5,36.1854,36.1854,36.1854,36.1854,0,Mbps,36.1853,36.1853,36.1853,36.1853,0,Mbps
afct_1,12.174,12.174,12.174,12.174,2.51E-15,sec,,,,,,
afct_2,12.1767,12.1767,12.1767,12.1767,1.34E-14,sec,12.1767,12.1767,12.1767,12.1767,0,sec
afct_3,12.174,12.174,12.174,12.174,0,sec,,,,,,
afct_4,12.1767,12.1767,12.1767,12.1767,0,sec,12.1767,12.1767,12.1767,12.1767,0,sec
afct_5,12.1767,12.1767,12.1767,12.1767,0,sec,12.1767,12.1767,12.1767,12.1767,0,sec
